pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name,city,city_code,population,estimated,percent,latitude
1,20001,501,4,2024-11-01,10:38 AM,13.42,53.68,Large,Seafood,"Shrimp, Garlic, Mozzarella",Caprese,Philadelphia,PA,1584200,1291431.0,65.7,-28.1041
2,20002,502,5,2024-11-02,03:35 AM,24.5,122.5,Small,Vegetarian,"BBQ Chicken, Cheese",Shrimp Pizza,Chicago,IL,2716000,2500124.0,62.0,18.8668
3,20003,503,5,2024-10-04,10:24 AM,28.42,142.1,Small,Vegetarian,"Sausage, Pepperoni, Cheese",Margherita,Los Angeles,CA,3980400,4096718.0,66.7,-70.3378
4,20004,504,5,2024-10-31,06:19 PM,19.79,98.95,Medium,Meat,"Tomato, Mozzarella, Basil",Spinach & Feta,Chicago,IL,2716000,2517287.0,48.8,4.3323
5,20005,505,3,2024-10-15,03:31 AM,18.66,55.98,Large,Vegetarian,"Goat Cheese, Arugula",Spinach & Feta,Dallas,TX,1340000,1250564.0,52.5,-35.2308
6,20006,506,1,2024-10-17,06:59 PM,27.7,27.7,Medium,Vegetarian,"Tomato, Basil, Mozzarella",Spinach & Feta,Philadelphia,PA,1584200,1759335.0,58.2,-48.0548
7,20007,507,5,2024-10-26,04:26 PM,14.99,74.95,Large,Seafood,"Sausage, Pepperoni, Cheese",Meat Lovers,Phoenix,AZ,1686000,1561095.0,51.1,-4.6789
8,20008,508,1,2024-11-01,06:59 PM,15.9,15.9,Small,Seafood,"Tomato, Mozzarella, Basil",Spinach & Feta,San Jose,CA,1035000,879608.0,61.9,-54.276
9,20009,509,3,2024-10-24,10:47 AM,17.46,52.38,Medium,Gourmet,"Tomato, Basil, Mozzarella",Caprese,Houston,TX,2328000,2467502.0,49.7,73.1398
10,20010,500,2,2024-10-19,11:19 PM,13.21,26.42,Small,Meat,"Tomato, Mozzarella, Basil",Veggie Deluxe,Philadelphia,PA,1584200,1883132.0,58.3,-28.4209
11,20011,501,2,2024-10-18,06:17 AM,17.81,35.62,Medium,Meat,"BBQ Chicken, Cheese",Margherita,San Diego,CA,1426000,1688199.0,43.2,64.3889
12,20012,502,4,2024-10-08,06:02 AM,14.33,57.32,Large,Seafood,"Pepperoni, Cheese",BBQ Chicken,San Antonio,TX,1547000,1756620.0,62.0,-18.0091
13,20013,503,2,2024-10-29,10:30 PM,28.89,57.78,Medium,Gourmet,"BBQ Chicken, Cheese",Caprese,Dallas,TX,1340000,1439880.0,47.8,-15.4117
14,20014,504,5,2024-10-23,02:21 PM,21.39,106.95,Large,Gourmet,"Goat Cheese, Arugula",Margherita,Dallas,TX,1340000,1245701.0,49.5,-34.856
15,20015,505,2,2024-10-18,04:33 AM,19.04,38.08,Large,Meat,"Tomato, Mozzarella, Basil",Veggie Deluxe,Chicago,IL,2716000,3105375.0,57.5,-89.2293
16,20016,506,3,2024-10-24,12:51 PM,14.79,44.37,Medium,Meat,"Sausage, Pepperoni, Cheese",Pesto Veggie,Chicago,IL,2716000,3193993.0,58.1,-43.1478
17,20017,507,4,2024-10-09,01:21 AM,18.44,73.76,Small,Gourmet,"BBQ Chicken, Cheese",Pesto Veggie,New York,NY,8419600,9106309.0,68.9,34.4958
18,20018,508,1,2024-10-09,09:53 AM,13.84,13.84,Large,Vegetarian,"Tomato, Basil, Mozzarella",Shrimp Pizza,New York,NY,8419600,9670605.0,52.7,-20.0852
19,20019,509,4,2024-10-15,12:43 PM,26.13,104.52,Small,Seafood,"Goat Cheese, Arugula",Caprese,Philadelphia,PA,1584200,1788567.0,50.6,72.9227
20,20020,500,2,2024-10-05,02:08 PM,24.43,48.86,Medium,Vegetarian,"Sausage, Pepperoni, Cheese",Meat Lovers,Dallas,TX,1340000,1495994.0,68.8,70.2205
21,20021,501,3,2024-10-21,05:54 AM,29.29,87.87,Small,Seafood,"Pepperoni, Cheese",Meat Lovers,Philadelphia,PA,1584200,1659752.0,49.7,-77.5195
22,20022,502,2,2024-10-03,12:39 AM,20.55,41.1,Large,Vegetarian,"Peppers, Onions, Mushrooms",Margherita,San Diego,CA,1426000,1681100.0,50.8,47.3311
23,20023,503,4,2024-11-01,12:03 AM,13.25,53.0,Medium,Vegetarian,"Peppers, Onions, Mushrooms",Shrimp Pizza,San Diego,CA,1426000,1343596.0,45.8,-10.5294
24,20024,504,1,2024-10-22,02:38 PM,11.77,11.77,Medium,Meat,"Peppers, Onions, Mushrooms",Spinach & Feta,New York,NY,8419600,8610644.0,47.3,15.503
25,20025,505,2,2024-10-13,11:21 PM,18.47,36.94,Large,Gourmet,"Spinach, Feta",Pepperoni,Los Angeles,CA,3980400,4631977.0,68.2,35.0824
26,20026,506,2,2024-10-04,06:34 PM,14.92,29.84,Small,Gourmet,"BBQ Chicken, Cheese",BBQ Chicken,Los Angeles,CA,3980400,4474038.0,61.0,-38.4113
27,20027,507,2,2024-10-24,08:09 AM,19.95,39.9,Large,Meat,"Sausage, Pepperoni, Cheese",Caprese,New York,NY,8419600,7471160.0,62.4,14.6677
28,20028,508,5,2024-10-18,07:28 AM,19.64,98.2,Large,Seafood,"Peppers, Onions, Mushrooms",Hawaiian,San Diego,CA,1426000,1364803.0,47.0,82.247
29,20029,509,1,2024-10-17,02:34 AM,18.72,18.72,Large,Meat,"BBQ Chicken, Cheese",Spinach & Feta,Philadelphia,PA,1584200,1653275.0,68.3,-0.4898
30,20030,500,5,2024-10-17,11:44 AM,29.95,149.75,Medium,Seafood,"Peppers, Onions, Mushrooms",Pesto Veggie,Philadelphia,PA,1584200,1379578.0,48.3,-87.0623
31,20031,501,2,2024-10-24,07:51 AM,23.99,47.98,Medium,Meat,"Ham, Pineapple",Spinach & Feta,Houston,TX,2328000,2058218.0,49.5,-65.4434
32,20032,502,2,2024-10-27,09:26 PM,19.61,39.22,Medium,Gourmet,"Goat Cheese, Arugula",Hawaiian,Dallas,TX,1340000,1370243.0,57.9,-62.9213
33,20033,503,2,2024-10-15,06:13 PM,15.44,30.88,Small,Vegetarian,"Peppers, Onions, Mushrooms",Meat Lovers,Phoenix,AZ,1686000,1839192.0,41.4,35.6971
34,20034,504,5,2024-10-29,02:04 PM,25.98,129.9,Medium,Seafood,"Sausage, Pepperoni, Cheese",Pesto Veggie,San Diego,CA,1426000,1388296.0,50.3,60.0195
35,20035,505,1,2024-10-04,11:20 PM,28.12,28.12,Medium,Meat,"Tomato, Mozzarella, Basil",Caprese,San Antonio,TX,1547000,1526287.0,65.6,-76.0691
36,20036,506,3,2024-10-08,02:14 PM,23.39,70.17,Medium,Seafood,"Tomato, Basil, Mozzarella",Pepperoni,Dallas,TX,1340000,1537354.0,44.2,-20.9061
37,20037,507,4,2024-10-04,03:43 AM,14.06,56.24,Large,Meat,"Spinach, Feta",Spinach & Feta,Phoenix,AZ,1686000,1553474.0,41.8,-81.4682
38,20038,508,3,2024-10-19,05:54 AM,13.9,41.7,Medium,Vegetarian,"Spinach, Feta",Pepperoni,New York,NY,8419600,9268256.0,58.4,63.8395
39,20039,509,5,2024-10-25,08:17 AM,10.58,52.9,Small,Vegetarian,"Goat Cheese, Arugula",Margherita,Philadelphia,PA,1584200,1487644.0,51.9,60.9471
40,20040,500,4,2024-10-22,05:29 AM,28.92,115.68,Medium,Gourmet,"Pepperoni, Cheese",Shrimp Pizza,San Jose,CA,1035000,1179408.0,40.5,25.7135
41,20041,501,4,2024-10-18,02:50 PM,18.31,73.24,Medium,Seafood,"Peppers, Onions, Mushrooms",Pesto Veggie,Dallas,TX,1340000,1349227.0,41.6,13.9372
42,20042,502,2,2024-10-08,05:50 AM,16.21,32.42,Large,Gourmet,"Goat Cheese, Arugula",Pesto Veggie,San Antonio,TX,1547000,1284934.0,61.2,-21.4923
